车道数,交通标识,天气,路口类型,道路状况,UAV坐标,行人1,机动车1,机动车2
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,十字路口,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,sunny,无,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,十字路口,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(11,12)', '等待', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(11,12)', '行走', '16m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(5,6)', '等待', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']"
4,noparking,雾霾,无,干燥,"(1,1)","[1, '(5,6)', '行走', '6m']","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']"
